Collector ID,ID,Site,Tree #,Cone,Cone Length (mm),# Seeds,Total Seed Weight (g) (Wing & Wingless),# Wingless Seed,Total Wingless Seed Weight (g),# Winged Seed,Total Winged Seed Weight (g),# sml immature Seed,Comments,Photo?
JH,K6C,Kawekas,6,C,51,93,0.3125,,,,,2,,
JH,K6D,Kawekas,6,D,43,115,0.4481,,,,,5,lots of small wings only,
JH,K6E,Kawekas,6,E,45,109,0.5003,,,,,4,,
JH,K7A,Kawekas,7,A,,,,,,,,,Not selected,
JH,K7B,Kawekas,7,B,,,,,,,,,Not selected,
JH,K7C,Kawekas,7,C,,,,,,,,,Not selected,
JH,K7D,Kawekas,7,D,,,,,,,,,Not selected,
JH,K7E,Kawekas,7,E,,,,,,,,,Not selected,
JH,K8A,Kawekas,8,A,40,0,0,,,,,,,
JH,K8B,Kawekas,8,B,45,85,0.3572,,,,,2,,
JH,K8C,Kawekas,8,C,45,95,0.3802,,,,,2,,
JH,K8D,Kawekas,8,D,48,85,0.3871,,,,,7,,
JH,K8E,Kawekas,8,E,50,2,0.0105,0,,2,,,plus a few wings,
JH,K9A,Kawekas,9,A,43,57,0.19,,,,,18,,
JH,K9B,Kawekas,9,B,44,47,0.1851,,,,,32,,
JH,K9C,Kawekas,9,C,35,0,0,,,,,,,
JH,K9D,Kawekas,9,D,36,1,0.0036,0,,1,,1,,
JH,K9E,Kawekas,9,E,44,44,0.1561,,,,,35,,
JH,K10A,Kawekas,10,A,55,99,0.5183,,,,,18,,
JH,K10B,Kawekas,10,B,43,78,0.3311,,,,,10,,
JH,K10C,Kawekas,10,C,47,100,0.3902,,,,,12,,
JH,K10D,Kawekas,10,D,49,21,0.0822,,,,,2,Wings damaged by mould,
JH,K10E,Kawekas,10,E,34,55,0.2265,,,,,3,,
JH,K11A,Kawekas,11,A,38,102,0.2855,,,,,11,,
JH,K11B,Kawekas,11,B,35,85,0.2381,,,,,10,,
JH,K11C,Kawekas,11,C,38,2,0.0031,2,,,,,,
JH,K11D,Kawekas,11,D,38,92,0.275,,,,,7,,
JH,K11E,Kawekas,11,E,34,88,0.2258,,,,,7,,
JH,K12A,Kawekas,12,A,31,80,0.2681,,,,,2,,
JH,K12B,Kawekas,12,B,35,75,0.2785,,,,,2,,
JH,K12C,Kawekas,12,C,39,104,0.4556,,,,,3,,
JH,K12D,Kawekas,12,D,38,,0.4115,,,,,2,Seed count missing. Originally 7 but clearly wrong. Packet missing now.,
JH,K12E,Kawekas,12,E,36,105,0.3817,,,,,2,,
JH,K13A,Kawekas,13,A,38,30,0.1541,,,,,40,Immature seed half mature,
JH,K13B,Kawekas,13,B,45,67,0.299,,,,,35,Immature seed half mature,
JH,K13C,Kawekas,13,C,45,41,0.2662,,,,,47,Immature seed half mature | missing,
JH,K13D,Kawekas,13,D,43,55,0.2271,,,,,42,Immature seed half mature,
JH,K13E,Kawekas,13,E,45,50,0.2628,,,,,58,Immature seed half mature |two K13E,
JH,K14A,Kawekas,14,A,46,20,0.0991,,,,,2,,
JH,K14B,Kawekas,14,B,38,87,0.4235,,,,,2,,
JH,K14C,Kawekas,14,C,42,94,0.3945,,,,,5,,
JH,K14D,Kawekas,14,D,42,0,0,,,,,,old cone,
JH,K14E,Kawekas,14,E,44,64,0.3033,,,,,14,,
JH,K15A,Kawekas,15,A,61,106,0.5927,,,,,21,,
JH,K15B,Kawekas,15,B,55,99,0.5705,,,,,7,"Cone not fully open due to mould, prised oped to get rest of seed",y
JH,K15C,Kawekas,15,C,50,94,0.389,,,,,6,3 mature seed missing wings,
JH,K15D,Kawekas,15,D,52,98,0.5067,,,,,4,"Cone not fully open due to mould, prised oped to get rest of seed",
JH,K15E,Kawekas,15,E,55,108,0.6097,,,,,9,"Cone not fully open due to mould, prised oped to get rest of seed. 3 mising wings",
JH,K16A,Kawekas,16,A,,,,,,,,,Not selected,
JH,K16B,Kawekas,16,B,,,,,,,,,Not selected,
JH,K16C,Kawekas,16,C,,,,,,,,,Not selected,
JH,K16D,Kawekas,16,D,,,,,,,,,Not selected,
JH,K16E,Kawekas,16,E,,,,,,,,,Not selected,
JH,K17A,Kawekas,17,A,57,132,0.6683,,,,,13,Very mouldy,y
JH,K17B,Kawekas,17,B,56,109,0.4614,,,,,7,only partially open due to mould - prised open to get rest of seed,y
JH,K17C,Kawekas,17,C,44,65,0.2539,,,,,3,only partially open due to mould - prised open to get rest of seed,y
JH,K17D,Kawekas,17,D,45,74,0.3732,,,,,17,partially closed due to mould - prised open to get seed,
JH,K17E,Kawekas,17,E,51,100,0.4026,,,,,10,half closed due to mould - prised open to get seed,
JH,K18A,Kawekas,18,A,45,100,0.4515,,,,,18,,
JH,K18B,Kawekas,18,B,42,88,0.4851,,,,,17,,
JH,K18C,Kawekas,18,C,46,93,0.4563,,,,,12,,
JH,K18D,Kawekas,18,D,45,104,0.4335,,,,,9,,
JH,K18E,Kawekas,18,E,42,83,0.3802,,,,,16,,
JH,K19A,Kawekas,19,A,49,107,0.4629,,,,,6,,
JH,K19B,Kawekas,19,B,51,103,0.488,,,,,34,Had to prise open cone a bit - slightly immature?,
JH,K19C,Kawekas,19,C,47,90,0.3948,,,,,17,Had to prise open cone a bit - slightly immature?,y
JH,K19D,Kawekas,19,D,46,99,0.2551,,,,,14,"seed mostly all came out ok | two k20D, most likely K19D",
JH,K19E,Kawekas,19,E,46,87,0.4231,,,,,27,Prised open a bit. Photo is cone prior to prising open,y
JH,K20A,Kawekas,20,A,51,80,0.2792,,,,,5,Not fully open - prised open and some wings stuck to scales because of mould,
JH,K20B,Kawekas,20,B,47,59,0.2191,,,,,5,Mouldy - not fully open,
JH,K20C,Kawekas,20,C,47,,,,,,,,Didn't open so didn't count seed,y
JH,K20D,Kawekas,20,D,50,80,0.369,,,,,13,,
JH,K20E,Kawekas,20,E,41,79,0.2522,,,,,4,cone partially closed - prised open,
MS,H1A,Hanmer,1,A,45,65,0.7373,55,0.2323,10,0.0505,,3 unviable seeds not weighed - pulverised,y
MS,H1B,Hanmer,1,B,45,81,0.3387,72,0.2926,9,0.0461,,,
MS,H1C,Hanmer,1,C,37,47,0.0978,33,0.0788,14,0.0404,,didn't open at 30°C. Reheated to 38°C. Prised open to get seeds,y
MS,H1D,Hanmer,1,D,45,82,0.3074,72,0.2667,10,0.0407,,,
MS,H1E,Hanmer,1,E,47,56,0.1791,,,,,,didn't open at 30°C. Reheated to 38°C. Prised open to get seeds,
MS,H2A,Hanmer,2,A,43,57,0.288,47,0.2147,10,0.0733,,,
MS,H2B,Hanmer,2,B,43,55,0.2457,45,0.2069,10,0.0388,,,
MS,H2C,Hanmer,2,C,41,27,0.3216,17,0.2667,10,0.0549,>50,lots of small immature seed (photo) not kept,y
MS,H2D,Hanmer,2,D,38,57,0.2631,1,0.006,56,0.2571,16,"plus 16 wings with tiny seed, not kept",
MS,H2E,Hanmer,2,E,36,23,0.1021,,,,,50,plus 50 immature seed kept,
MS,H3A,Hanmer,3,A,36,44,0.1752,,,,,7,older cone,
MS,H3B,Hanmer,3,B,36,43,0.1187,,,,,8,older cone,
MS,H3C,Hanmer,3,C,38,53,0.1758,,,,,6,older cone,
MS,H3D,Hanmer,3,D,35,54,0.2383,,,,,4,older cone,
MS,H3E,Hanmer,3,E,39,62,0.1796,,,,,9,older cone,
MS,H4A,Hanmer,4,A,46,137,0.6094,,,,,50,~50 - mostly just small wings,y
MS,H4B,Hanmer,4,B,43,95,0.3922,,,,,5,many small wings only (photo),
MS,H4C,Hanmer,4,C,41,100,0.4249,,,,,35,"~35 immature, mostly just small wings",
MS,H4D,Hanmer,4,D,46,125,0.5414,,,,,50,"~50 immature, mostly just small wings",
MS,H4E,Hanmer,4,E,43,120,0.4498,,,,,34,"~34 immature, many small wings",
MS,H5A,Hanmer,5,A,54,82,0.5264,,,,,,lots of immature but mostly just small wings,
MS,H5B,Hanmer,5,B,49,84,0.4214,,,,,,lots of immature but mostly just small wings,
MS,H5C,Hanmer,5,C,55,113,0.5951,,,,,,lots of immature but mostly just small wings,
MS,H5D,Hanmer,5,D,51,46,0.4478,,,,,,lots of immature but mostly just small wings | 46?,
MS,H5E,Hanmer,5,E,46,80,0.414,,,,,,,
MS,H6A,Hanmer,6,A,42,60,0.3039,,,,,,,
MS,H6B,Hanmer,6,B,45,82,0.4239,,,,,,,
MS,H6C,Hanmer,6,C,42,63,0.3234,,,,,,,
MS,H6D,Hanmer,6,D,39,65,0.3519,,,,,,,
MS,H6E,Hanmer,6,E,41,62,0.3076,,,,,,,
MS,H7A,Hanmer,7,A,42,51,0.2563,,,,,50,~50 tiny immature black seed in open scales (photo),y
MS,H7B,Hanmer,7,B,44,43,0.1626,,,,0.0417,48,immature black seed kept separate,y
MS,H7C,Hanmer,7,C,37,33,0.1825,,,,0.0316,46,immature black seed kept separate,
MS,H7D,Hanmer,7,D,35,34,0.1687,,,,0.0259,41,immature black seed kept separate,
MS,H7E,Hanmer,7,E,41,52,0.2357,,,,0.0384,52,immature black seed kept separate,
MS,H8A,Hanmer,8,A,39,65,0.2757,,,,,,lots of just small wings,
MS,H8B,Hanmer,8,B,36,55,0.1782,,,,,,lots of just small wings,
MS,H8C,Hanmer,8,C,36,56,0.2206,,,,,,lots of just small wings,
MS,H8D,Hanmer,8,D,31,33,0.1296,,,,,,lots of just small wings,
MS,H8E,Hanmer,8,E,36,57,0.1921,,,,,,lots of just small wings,
MS,H9A,Hanmer,9,A,40,71,0.3505,,,,,,lots of just small wings,
MS,H9B,Hanmer,9,B,37,62,0.3335,,,,,8,"8 very tiny, immature seed - rest just wings",
MS,H9C,Hanmer,9,C,37,62,0.2986,,,,,2,"2 very tiny, immature seed - rest just wings",
MS,H9D,Hanmer,9,D,43,74,0.3483,,,,,3,"3 very tiny, immature seed - rest just wings",
MS,H9E,Hanmer,9,E,40,77,0.3496,,,,,7,"7 very tiny, immature seed - rest just wings",
MS,H10A,Hanmer,10,A,42,99,0.3846,,,,,,a few wings only,
MS,H10B,Hanmer,10,B,38,96,0.2737,,,,,,a few wings only,
MS,H10C,Hanmer,10,C,45,122,0.4369,,,,,,a few wings only,
MS,H10D,Hanmer,10,D,47,119,0.4959,,,,,,a few wings only,
MS,H10E,Hanmer,10,E,31,58,0.1797,,,,,,a few wings only,
MS,H11A,Hanmer,11,A,45,80,0.2451,,,,,,a few wings only,
MS,H11B,Hanmer,11,B,45,76,0.2756,,,,,14,"14 very tiny, immature seed - rest just wings",
MS,H11C,Hanmer,11,C,36,56,0.1947,,,,,2,"2 very tiny, immature seed - lots of just wings",
MS,H11D,Hanmer,11,D,37,77,0.2643,,,,,3,"3 very tiny, immature seed - 7 wings only",
MS,H11E,Hanmer,11,E,36,60,0.1867,,,,,,a few small wings only,
MS,H12A,Hanmer,12,A,29,44,0.1484,,,,,,a few small wings only,
MS,H12B,Hanmer,12,B,33,54,0.2086,,,,,2,"2 very tiny, immature seed - lots of just wings",
MS,H12C,Hanmer,12,C,32,54,0.1837,,,,,,lots of just small wings,
MS,H12D,Hanmer,12,D,31,51,0.1897,,,,,4,"4 very tiny, immature seed - lots of just wings",
MS,H12E,Hanmer,12,E,30,48,0.1701,,,,,4,"4 very tiny, immature seed - lots of just wings",
MS,H13A,Hanmer,13,A,36,104,0.3856,,,,,9,"9 very tiny, immature seed - lots of just wings",
MS,H13B,Hanmer,13,B,34,75,0.3299,,,,,19,"19 very tiny, immature seed - lots of just wings",
MS,H13C,Hanmer,13,C,34,88,0.3396,,,,,10,"10 very tiny, immature seed - lots of just wings",
MS,H13D,Hanmer,13,D,31,73,0.2786,,,,,13,"13 very tiny, immature seed - lots of just wings",
MS,H13E,Hanmer,13,E,32,77,0.2946,,,,,17,"17 very tiny, immature seed - lots of just wings",
MS,H14A,Hanmer,14,A,37,74,0.2818,,,,,1,"1 very tiny, immature seed - lots of just wings",y
MS,H14B,Hanmer,14,B,38,73,0.2835,,,,,4,"4 very tiny, immature seed - lots of just wings",y
MS,H14C,Hanmer,14,C,39,74,0.2873,,,,,7,"7 very tiny, immature seed - lots of just wings",y
MS,H14D,Hanmer,14,D,36,59,0.2447,,,,,1,"1 very tiny, immature seed - lots of just wings",y
MS,H14E,Hanmer,14,E,39,82,0.3205,,,,,4,"4 very tiny, immature seed - lots of just wings",y
MS,H15A,Hanmer,15,A,42,67,0.2097,,,,,6,lots of just small wings,
MS,H15B,Hanmer,15,B,41,85,0.2147,,,,,5,,
MS,H15C,Hanmer,15,C,44,,,,,,,,didn't open at 30°C. Reheated to 38°C. Only slightly open - not counted,
MS,H15D,Hanmer,15,D,47,52,0.1558,,,,,,didn't open at 30°C. Reheated to 38°C. Prised open to get seeds,y
MS,H15E,Hanmer,15,E,43,44,0.2581,,,,,,44?,
MS,H16A,Hanmer,16,A,40,54,0.2603,,,,,7,Cone not fully open but lots of mature seed,
MS,H16B,Hanmer,16,B,37,54,0.2577,,,,,10,,
MS,H16C,Hanmer,16,C,40,,,,,,,,didn't open at 30°C. Reheated to 38°C. didn't open - not counted,
MS,H16D,Hanmer,16,D,44,47,0.3008,,,,,,"only half open, reheated to 37°C and prised open to reveal mature seed",
MS,H16E,Hanmer,16,E,40,,,,,,,,didn't open at 30°C. Reheated to 38°C. didn't open - not counted,
MS,H17A,Hanmer,17,A,40,103,0.4006,,,,,9,,y
MS,H17B,Hanmer,17,B,38,116,0.4282,,,,,3,,y
MS,H17C,Hanmer,17,C,40,110,0.4182,,,,,5,,y
MS,H17D,Hanmer,17,D,39,91,0.3819,,,,,10,,y
MS,H17E,Hanmer,17,E,32,72,0.2529,,,,,8,,y
MS,H18A,Hanmer,18,A,26,,,,,,,,"Old cone, seed all gone",y
MS,H18B,Hanmer,18,B,22,,,,,,,,"Old cone, seed all gone",y
MS,H18C,Hanmer,18,C,31,58,0.2117,,,,,,,y
MS,H18D,Hanmer,18,D,35,74,0.3032,,,,,4,,y
MS,H18E,Hanmer,18,E,28,60,0.2145,,,,,7,,y
MS,H19A,Hanmer,19,A,30,43,0.1653,,,,,13,,
MS,H19B,Hanmer,19,B,27,51,0.1941,,,,,4,,
MS,H19C,Hanmer,19,C,28,42,0.2095,,,,,12,,
MS,H19D,Hanmer,19,D,30,49,0.2479,,,,,3,,
MS,H19E,Hanmer,19,E,31,74,0.2754,,,,,5,,
MS,H20A,Hanmer,20,A,37,85,0.4629,,,,,6,,
MS,H20B,Hanmer,20,B,33,61,0.3205,,,,,2,,
MS,H20C,Hanmer,20,C,32,49,,,,,,5,Missing,
MS,H20D,Hanmer,20,D,34,53,0.2882,,,,,10,,
MS,H20E,Hanmer,20,E,38,70,0.3237,,,,,1,,
MS,H21A,Hanmer,21,A,49,53,0.2097,,,,,11,,
MS,H21B,Hanmer,21,B,45,98,0.3837,,,,,4,,
MS,H21C,Hanmer,21,C,36,96,0.4004,,,,,1,,
MS,H21D,Hanmer,21,D,43,65,0.2416,,,,,3,,
MS,H21E,Hanmer,21,E,37,93,0.329,,,,,8,,
MS,H22A,Hanmer,22,A,37,91,0.3913,,,,,,,
MS,H22B,Hanmer,22,B,37,85,0.3523,,,,,7,,
MS,H22C,Hanmer,22,C,37,89,0.3756,,,,,4,,
MS,H22D,Hanmer,22,D,34,79,0.3787,,,,,9,,
MS,H22E,Hanmer,22,E,31,60,0.2536,,,,,3,,
MS,H23A,Hanmer,23,A,42,94,0.3825,,,,,,,
MS,H23B,Hanmer,23,B,42,101,0.4069,,,,,12,,
MS,H23C,Hanmer,23,C,40,101,0.356,,,,,8,,
MS,H23D,Hanmer,23,D,36,85,0.2573,,,,,9,,
MS,H23E,Hanmer,23,E,43,87,0.3716,,,,,6,,
MS,H24A,Hanmer,24,A,36,68,0.2976,,,,,11,,
MS,H24B,Hanmer,24,B,34,63,0.2703,,,,,5,,
MS,H24C,Hanmer,24,C,34,60,0.2841,,,,,4,,
MS,H24D,Hanmer,24,D,32,49,0.239,,,,,7,,
MS,H24E,Hanmer,24,E,30,62,0.254,,,,,5,,
MS,H25A,Hanmer,25,A,35,80,0.3369,,,,,4,,
MS,H25B,Hanmer,25,B,43,88,0.4927,,,,,11,,
MS,H25C,Hanmer,25,C,36,72,0.3335,,,,,6,,
MS,H25D,Hanmer,25,D,33,67,0.2483,,,,,3,,
MS,H25E,Hanmer,25,E,41,89,0.3784,,,,,5,,
MS,H26A,Hanmer,26,A,45,111,0.4916,,,,,,,
MS,H26B,Hanmer,26,B,41,87,0.3782,,,,,,,
MS,H26C,Hanmer,26,C,41,83,0.3557,,,,,7,,
MS,H26D,Hanmer,26,D,36,80,0.2913,,,,,4,,
MS,H26E,Hanmer,26,E,36,80,0.3302,,,,,4,,
MS,H27A,Hanmer,27,A,45,115,0.5158,,,,,7,,
MS,H27B,Hanmer,27,B,41,84,0.3555,,,,,9,,
MS,H27C,Hanmer,27,C,37,65,0.2368,,,,,11,,
MS,H27D,Hanmer,27,D,36,67,0.2458,,,,,18,,
MS,H27E,Hanmer,27,E,37,77,0.2727,,,,,14,,
MS,H28A,Hanmer,28,A,37,77,0.3256,,,,,,,
MS,H28B,Hanmer,28,B,37,74,0.3695,,,,,2,,
MS,H28C,Hanmer,28,C,36,71,0.3367,,,,,2,,
MS,H28D,Hanmer,28,D,38,72,0.33,,,,,4,,
MS,H28E,Hanmer,28,E,34,60,0.2445,,,,,6,,
